datetime,temp,temp(sensor),relative_humidity,relative_humidity(sensor),barometric_pressure,barometric_pressure(sensor)
2024/7/1 1:00,26.3,29,88,68.5,996.5,998.2
2024/7/1 2:00,26.6,29.1,87,68.5,996,996.8
2024/7/1 3:00,26.6,29.2,87,68.8,995.7,996.4
2024/7/1 4:00,26.8,29.2,85,68.9,995.7,995.8
2024/7/1 5:00,24.2,29.2,97,68.8,995.6,995.8
2024/7/1 6:00,23.9,29.2,97,69,996.3,996.3
2024/7/1 7:00,24.1,29.2,96,69.1,996.5,996.9
2024/7/1 8:00,24.8,26.4,93,65.8,997,997.1
2024/7/1 9:00,25.4,23.9,91,61.8,996.7,998.3
2024/7/1 10:00,26,23.6,89,59.1,997.2,998.3
2024/7/1 11:00,26.8,24,88,61.4,997,997.7
2024/7/1 12:00,28.2,23.5,85,62.1,997,997.9
2024/7/1 13:00,28.8,23.4,85,56.9,997.1,997.8
2024/7/1 14:00,29.1,24.6,85,65.6,997.3,997.7
2024/7/1 15:00,29,24.1,87,62.2,997.5,998
2024/7/1 16:00,28.7,24.2,86,68.4,997.7,998.2
2024/7/1 17:00,28.1,23.4,89,64.1,998.1,998.5
2024/7/1 18:00,27.9,24,85,67.2,998.7,999
2024/7/1 19:00,27.3,27.1,86,66.5,999.3,999.4
2024/7/1 20:00,27.1,27.7,87,68.2,999.9,999.8
2024/7/1 21:00,26.5,28.2,91,68.7,1000.5,1000.6
2024/7/1 22:00,25.9,28.6,96,68.5,1000.8,1000.9
2024/7/1 23:00,25.8,28.7,98,69,1001.1,1001.4
2024/7/2 0:00,25.4,28.9,84,69.4,1001.4,1001.6
2024/7/2 1:00,24.6,28.9,86,68.3,1001.9,1001.9
2024/7/2 2:00,24.5,28.9,83,67.9,1002.4,1002.5
2024/7/2 3:00,24.6,29,82,66.9,1002.7,1002.8
2024/7/2 4:00,24.4,29,86,66.3,1003.4,1003.2
2024/7/2 5:00,23.5,29,93,66.2,1003.3,1003.5
2024/7/2 6:00,25,28.8,85,67.6,1004,1003.4
2024/7/2 7:00,26.4,29,76,67.2,1004.4,1004.6
2024/7/2 8:00,28.4,29.4,72,65.7,1004.6,1005
2024/7/2 9:00,28.5,24,69,62.1,1004.8,1005.2
2024/7/2 10:00,29.4,23.6,68,60.1,1004.6,1005.5
2024/7/2 11:00,30.8,23.1,69,57.9,1004.4,1005.1
2024/7/2 12:00,31.1,23.5,60,64.4,1004.2,1005.2
2024/7/2 13:00,31,24.6,60,65.7,1004.4,1005
2024/7/2 14:00,31.4,24.8,50,65,1004.1,1005.1
2024/7/2 15:00,31.6,24,43,62.2,1004.3,1004.8
2024/7/2 16:00,31.6,23.7,47,61.9,1004.4,1005
2024/7/2 17:00,30,23.1,69,59.8,1005.1,1005.2
2024/7/2 18:00,29.7,27.2,70,63.8,1006,1005.8
2024/7/2 19:00,28.3,27.9,81,66.9,1006.3,1006.7
2024/7/2 20:00,28.1,28.4,74,66.8,1007,1007.3
2024/7/2 21:00,27.5,29,80,65.6,1007.9,1007.9
2024/7/2 22:00,27.1,29.4,82,65.1,1007.7,1008
2024/7/2 23:00,26.9,29.5,78,65.5,1008.3,1008
2024/7/3 0:00,25.8,29.8,86,65,1008.2,1008.4
2024/7/3 1:00,25.2,29.7,85,65.3,1008.1,1008.3
2024/7/3 2:00,24.7,29.7,87,65.1,1008.5,1008.4
2024/7/3 3:00,24.5,29.7,84,64.7,1008.7,1008.7
2024/7/3 4:00,23.8,29.7,86,64.6,1009.5,1009.1
2024/7/3 5:00,23.7,29.8,86,63.8,1009.8,1009.6
2024/7/3 6:00,23.1,29.7,91,63.9,1010.2,1010.2
2024/7/3 7:00,23.9,29.9,85,63.2,1010.4,1010.7
2024/7/3 8:00,25,29.6,83,63.6,1010.4,1010.9
2024/7/3 9:00,25.5,25,82,65.1,1010.3,1011
2024/7/3 10:00,26.7,24.5,82,58,1009.7,1010.8
2024/7/3 11:00,27.2,24.3,79,61.2,1008.8,1010.4
2024/7/3 12:00,28.4,24,76,61.5,1007.9,1009.3
2024/7/3 13:00,30.3,23.6,67,58.5,1007.1,1008.6
2024/7/3 14:00,32,23,60,58.7,1006.4,1007.4
2024/7/3 15:00,33.5,24.8,50,62.1,1005.9,1006.8
2024/7/3 16:00,32.5,24.2,59,61.2,1005.5,1006.6
2024/7/3 17:00,32.2,25.3,61,62.9,1006,1006.4
2024/7/3 18:00,31.3,28.7,60,60,1005.7,1006.5
2024/7/3 19:00,29.3,29.1,70,62.2,1005.6,1006.7
2024/7/3 20:00,27.7,29.5,79,63,1005.6,1006.3
2024/7/3 21:00,27.5,29.8,80,63.6,1005.3,1006.3
2024/7/3 22:00,26.5,30,87,64.2,1004.9,1005.8
2024/7/3 23:00,26.1,30.1,90,64.9,1003.8,1005.3
2024/7/4 0:00,25.5,30.1,94,65.9,1003.3,1004.5
2024/7/4 1:00,25.5,30.2,93,65.8,1002.3,1003.7
2024/7/4 2:00,25.1,30.2,95,66.4,1001.8,1002.9
2024/7/4 3:00,24.9,30.3,96,66,1001.9,1002.8
2024/7/4 4:00,25.1,30.3,96,66.4,1002.4,1002.5
2024/7/4 5:00,25.8,30.4,93,66.6,1002.6,1002.9
2024/7/4 6:00,26.7,30,89,68.3,1003,1003
2024/7/4 7:00,27.4,30.1,88,68.2,1003.2,1003.3
2024/7/4 8:00,28.2,30.3,82,67.7,1003,1003.5
2024/7/4 9:00,29.3,25.2,78,46.5,1002.8,1003.5
2024/7/4 10:00,30.6,25.5,72,60.6,1002.3,1003.4
2024/7/4 11:00,32.1,23.7,68,53.1,1001.7,1002.9
2024/7/4 12:00,33.3,23.2,58,54.4,1001.2,1002.2
2024/7/4 13:00,33.9,25,51,59.6,1000.8,1001.7
2024/7/4 14:00,34.4,24.8,52,60.4,1000.2,1001.4
2024/7/4 15:00,33.7,24.4,56,59.9,999.8,1001.2
2024/7/4 16:00,33.9,24.2,53,57.8,1000,1001
2024/7/4 17:00,33.8,24.4,54,64.8,1000.3,1000.9
2024/7/4 18:00,32.9,29.1,62,60,1000.6,1001.2
2024/7/4 19:00,31.8,29.9,59,62.8,1001,1001.6
2024/7/4 20:00,31.1,30.1,58,63.8,1001.6,1001.9
2024/7/4 21:00,30.5,30.4,61,63.7,1001.9,1002.2
2024/7/4 22:00,28.5,30.7,75,63.5,1001.9,1002.2
2024/7/4 23:00,28.5,31.1,77,62.6,1002.1,1002.3
2024/7/5 0:00,27.7,31.3,83,62.7,1002.1,1002.4
2024/7/5 1:00,27.6,31.4,78,62.9,1001.9,1002.1
2024/7/5 2:00,26.4,31.5,84,62.4,1002.3,1002.2
2024/7/5 3:00,25,31.6,92,62.2,1002.3,1002.5
2024/7/5 4:00,24.9,31.6,93,62,1002.4,1002.6
2024/7/5 5:00,24.9,31.6,92,62.5,1002.8,1002.9
2024/7/5 6:00,26.9,31.7,86,62.4,1003,1003.3
2024/7/5 7:00,28.2,32.6,75,59.4,1003.1,1003.6
2024/7/5 8:00,28.9,32.8,70,58.4,1003,1003.7
2024/7/5 9:00,30.2,24.7,66,45.2,1002.7,1003.4
2024/7/5 10:00,30.9,24.4,64,50.3,1002.5,1003.1
2024/7/5 11:00,32.8,24.6,59,55.4,1002.1,1002.7
2024/7/5 12:00,32.8,24.7,56,63.8,1001,1002.6
2024/7/5 13:00,33.9,24.6,52,61.7,1000.6,1001.8
2024/7/5 14:00,35.1,25.1,47,60.2,1000.3,1000.8
2024/7/5 15:00,35.6,24.7,46,58.3,1000.1,1000.4
2024/7/5 16:00,35.1,24.4,51,60.5,999.8,1000.6
2024/7/5 17:00,35.1,30.1,47,55.6,1000.4,1000.6
2024/7/5 18:00,34,31.1,51,57,1000.3,1000.8
2024/7/5 19:00,32,31.9,58,57.1,1001.9,1000.9
2024/7/5 20:00,31.2,32.1,60,58.1,1002,1001.8
2024/7/5 21:00,30.6,32.1,64,58.9,1002.3,1002.5
2024/7/5 22:00,29.8,31.9,72,60.5,1002.4,1002.3
2024/7/5 23:00,28.2,32,84,61.6,1002.1,1002.3
2024/7/6 0:00,26.8,31.8,91,63.2,1002.1,1002.2
2024/7/6 1:00,26.5,31.8,92,63.8,1001.7,1002.2
2024/7/6 2:00,26.5,31.7,91,64.3,1001.6,1002
2024/7/6 3:00,26.1,31.9,94,64.1,1001.7,1001.9
2024/7/6 4:00,26.1,32,95,63.9,1002.1,1002.3
2024/7/6 5:00,25.9,31.8,97,64.6,1002.5,1002.8
2024/7/6 6:00,26.8,32.4,92,63.3,1003.2,1003.1
2024/7/6 7:00,27.7,32.5,86,63.4,1003.6,1003.8
2024/7/6 8:00,29,32.8,80,62.6,1003.3,1004.1
2024/7/6 9:00,30,25.6,77,43.1,1003.7,1003.8
2024/7/6 10:00,31.4,25.2,72,57.7,1003.5,1003.9
2024/7/6 11:00,32,24.9,67,58,1003.4,1003.7
