datetime,relative_humidity,relative_humidity(sensor)
2024/7/1 1:00,88,68.5
2024/7/1 2:00,87,68.5
2024/7/1 3:00,87,68.8
2024/7/1 4:00,85,68.9
2024/7/1 5:00,97,68.8
2024/7/1 6:00,97,69
2024/7/1 7:00,96,69.1
2024/7/1 8:00,93,65.8
2024/7/1 9:00,91,61.8
2024/7/1 10:00,89,59.1
2024/7/1 11:00,88,61.4
2024/7/1 12:00,85,62.1
2024/7/1 13:00,85,56.9
2024/7/1 14:00,85,65.6
2024/7/1 15:00,87,62.2
2024/7/1 16:00,86,68.4
2024/7/1 17:00,89,64.1
2024/7/1 18:00,85,67.2
2024/7/1 19:00,86,66.5
2024/7/1 20:00,87,68.2
2024/7/1 21:00,91,68.7
2024/7/1 22:00,96,68.5
2024/7/1 23:00,98,69
2024/7/2 0:00,84,69.4
2024/7/2 1:00,86,68.3
2024/7/2 2:00,83,67.9
2024/7/2 3:00,82,66.9
2024/7/2 4:00,86,66.3
2024/7/2 5:00,93,66.2
2024/7/2 6:00,85,67.6
2024/7/2 7:00,76,67.2
2024/7/2 8:00,72,65.7
2024/7/2 9:00,69,62.1
2024/7/2 10:00,68,60.1
2024/7/2 11:00,69,57.9
2024/7/2 12:00,60,64.4
2024/7/2 13:00,60,65.7
2024/7/2 14:00,50,65
2024/7/2 15:00,43,62.2
2024/7/2 16:00,47,61.9
2024/7/2 17:00,69,59.8
2024/7/2 18:00,70,63.8
2024/7/2 19:00,81,66.9
2024/7/2 20:00,74,66.8
2024/7/2 21:00,80,65.6
2024/7/2 22:00,82,65.1
2024/7/2 23:00,78,65.5
2024/7/3 0:00,86,65
2024/7/3 1:00,85,65.3
2024/7/3 2:00,87,65.1
2024/7/3 3:00,84,64.7
2024/7/3 4:00,86,64.6
2024/7/3 5:00,86,63.8
2024/7/3 6:00,91,63.9
2024/7/3 7:00,85,63.2
2024/7/3 8:00,83,63.6
2024/7/3 9:00,82,65.1
2024/7/3 10:00,82,58
2024/7/3 11:00,79,61.2
2024/7/3 12:00,76,61.5
2024/7/3 13:00,67,58.5
2024/7/3 14:00,60,58.7
2024/7/3 15:00,50,62.1
2024/7/3 16:00,59,61.2
2024/7/3 17:00,61,62.9
2024/7/3 18:00,60,60
2024/7/3 19:00,70,62.2
2024/7/3 20:00,79,63
2024/7/3 21:00,80,63.6
2024/7/3 22:00,87,64.2
2024/7/3 23:00,90,64.9
2024/7/4 0:00,94,65.9
2024/7/4 1:00,93,65.8
2024/7/4 2:00,95,66.4
2024/7/4 3:00,96,66
2024/7/4 4:00,96,66.4
2024/7/4 5:00,93,66.6
2024/7/4 6:00,89,68.3
2024/7/4 7:00,88,68.2
2024/7/4 8:00,82,67.7
2024/7/4 9:00,78,46.5
2024/7/4 10:00,72,60.6
2024/7/4 11:00,68,53.1
2024/7/4 12:00,58,54.4
2024/7/4 13:00,51,59.6
2024/7/4 14:00,52,60.4
2024/7/4 15:00,56,59.9
2024/7/4 16:00,53,57.8
2024/7/4 17:00,54,64.8
2024/7/4 18:00,62,60
2024/7/4 19:00,59,62.8
2024/7/4 20:00,58,63.8
2024/7/4 21:00,61,63.7
2024/7/4 22:00,75,63.5
2024/7/4 23:00,77,62.6
2024/7/5 0:00,83,62.7
2024/7/5 1:00,78,62.9
2024/7/5 2:00,84,62.4
2024/7/5 3:00,92,62.2
2024/7/5 4:00,93,62
2024/7/5 5:00,92,62.5
2024/7/5 6:00,86,62.4
2024/7/5 7:00,75,59.4
2024/7/5 8:00,70,58.4
2024/7/5 9:00,66,45.2
2024/7/5 10:00,64,50.3
2024/7/5 11:00,59,55.4
2024/7/5 12:00,56,63.8
2024/7/5 13:00,52,61.7
2024/7/5 14:00,47,60.2
2024/7/5 15:00,46,58.3
2024/7/5 16:00,51,60.5
2024/7/5 17:00,47,55.6
2024/7/5 18:00,51,57
2024/7/5 19:00,58,57.1
2024/7/5 20:00,60,58.1
2024/7/5 21:00,64,58.9
2024/7/5 22:00,72,60.5
2024/7/5 23:00,84,61.6
2024/7/6 0:00,91,63.2
2024/7/6 1:00,92,63.8
2024/7/6 2:00,91,64.3
2024/7/6 3:00,94,64.1
2024/7/6 4:00,95,63.9
2024/7/6 5:00,97,64.6
