datetime,barometric_pressure,barometric_pressure(sensor)
2024/7/1 1:00,996.5,998.2
2024/7/1 2:00,996,996.8
2024/7/1 3:00,995.7,996.4
2024/7/1 4:00,995.7,995.8
2024/7/1 5:00,995.6,995.8
2024/7/1 6:00,996.3,996.3
2024/7/1 7:00,996.5,996.9
2024/7/1 8:00,997,997.1
2024/7/1 9:00,996.7,998.3
2024/7/1 10:00,997.2,998.3
2024/7/1 11:00,997,997.7
2024/7/1 12:00,997,997.9
2024/7/1 13:00,997.1,997.8
2024/7/1 14:00,997.3,997.7
2024/7/1 15:00,997.5,998
2024/7/1 16:00,997.7,998.2
2024/7/1 17:00,998.1,998.5
2024/7/1 18:00,998.7,999
2024/7/1 19:00,999.3,999.4
2024/7/1 20:00,999.9,999.8
2024/7/1 21:00,1000.5,1000.6
2024/7/1 22:00,1000.8,1000.9
2024/7/1 23:00,1001.1,1001.4
2024/7/2 0:00,1001.4,1001.6
2024/7/2 1:00,1001.9,1001.9
2024/7/2 2:00,1002.4,1002.5
2024/7/2 3:00,1002.7,1002.8
2024/7/2 4:00,1003.4,1003.2
2024/7/2 5:00,1003.3,1003.5
2024/7/2 6:00,1004,1003.4
2024/7/2 7:00,1004.4,1004.6
2024/7/2 8:00,1004.6,1005
2024/7/2 9:00,1004.8,1005.2
2024/7/2 10:00,1004.6,1005.5
2024/7/2 11:00,1004.4,1005.1
2024/7/2 12:00,1004.2,1005.2
2024/7/2 13:00,1004.4,1005
2024/7/2 14:00,1004.1,1005.1
2024/7/2 15:00,1004.3,1004.8
2024/7/2 16:00,1004.4,1005
2024/7/2 17:00,1005.1,1005.2
2024/7/2 18:00,1006,1005.8
2024/7/2 19:00,1006.3,1006.7
2024/7/2 20:00,1007,1007.3
2024/7/2 21:00,1007.9,1007.9
2024/7/2 22:00,1007.7,1008
2024/7/2 23:00,1008.3,1008
2024/7/3 0:00,1008.2,1008.4
2024/7/3 1:00,1008.1,1008.3
2024/7/3 2:00,1008.5,1008.4
2024/7/3 3:00,1008.7,1008.7
2024/7/3 4:00,1009.5,1009.1
2024/7/3 5:00,1009.8,1009.6
2024/7/3 6:00,1010.2,1010.2
2024/7/3 7:00,1010.4,1010.7
2024/7/3 8:00,1010.4,1010.9
2024/7/3 9:00,1010.3,1011
2024/7/3 10:00,1009.7,1010.8
2024/7/3 11:00,1008.8,1010.4
2024/7/3 12:00,1007.9,1009.3
2024/7/3 13:00,1007.1,1008.6
2024/7/3 14:00,1006.4,1007.4
2024/7/3 15:00,1005.9,1006.8
2024/7/3 16:00,1005.5,1006.6
2024/7/3 17:00,1006,1006.4
2024/7/3 18:00,1005.7,1006.5
2024/7/3 19:00,1005.6,1006.7
2024/7/3 20:00,1005.6,1006.3
2024/7/3 21:00,1005.3,1006.3
2024/7/3 22:00,1004.9,1005.8
2024/7/3 23:00,1003.8,1005.3
2024/7/4 0:00,1003.3,1004.5
2024/7/4 1:00,1002.3,1003.7
2024/7/4 2:00,1001.8,1002.9
2024/7/4 3:00,1001.9,1002.8
2024/7/4 4:00,1002.4,1002.5
2024/7/4 5:00,1002.6,1002.9
2024/7/4 6:00,1003,1003
2024/7/4 7:00,1003.2,1003.3
2024/7/4 8:00,1003,1003.5
2024/7/4 9:00,1002.8,1003.5
2024/7/4 10:00,1002.3,1003.4
2024/7/4 11:00,1001.7,1002.9
2024/7/4 12:00,1001.2,1002.2
2024/7/4 13:00,1000.8,1001.7
2024/7/4 14:00,1000.2,1001.4
2024/7/4 15:00,999.8,1001.2
2024/7/4 16:00,1000,1001
2024/7/4 17:00,1000.3,1000.9
2024/7/4 18:00,1000.6,1001.2
2024/7/4 19:00,1001,1001.6
2024/7/4 20:00,1001.6,1001.9
2024/7/4 21:00,1001.9,1002.2
2024/7/4 22:00,1001.9,1002.2
2024/7/4 23:00,1002.1,1002.3
2024/7/5 0:00,1002.1,1002.4
2024/7/5 1:00,1001.9,1002.1
2024/7/5 2:00,1002.3,1002.2
2024/7/5 3:00,1002.3,1002.5
2024/7/5 4:00,1002.4,1002.6
2024/7/5 5:00,1002.8,1002.9
2024/7/5 6:00,1003,1003.3
2024/7/5 7:00,1003.1,1003.6
2024/7/5 8:00,1003,1003.7
2024/7/5 9:00,1002.7,1003.4
2024/7/5 10:00,1002.5,1003.1
2024/7/5 11:00,1002.1,1002.7
2024/7/5 12:00,1001,1002.6
2024/7/5 13:00,1000.6,1001.8
2024/7/5 14:00,1000.3,1000.8
2024/7/5 15:00,1000.1,1000.4
2024/7/5 16:00,999.8,1000.6
2024/7/5 17:00,1000.4,1000.6
2024/7/5 18:00,1000.3,1000.8
2024/7/5 19:00,1001.9,1000.9
2024/7/5 20:00,1002,1001.8
2024/7/5 21:00,1002.3,1002.5
2024/7/5 22:00,1002.4,1002.3
2024/7/5 23:00,1002.1,1002.3
2024/7/6 0:00,1002.1,1002.2
2024/7/6 1:00,1001.7,1002.2
2024/7/6 2:00,1001.6,1002
2024/7/6 3:00,1001.7,1001.9
2024/7/6 4:00,1002.1,1002.3
2024/7/6 5:00,1002.5,1002.8
2024/7/6 6:00,1003.2,1003.1
2024/7/6 7:00,1003.6,1003.8
2024/7/6 8:00,1003.3,1004.1
2024/7/6 9:00,1003.7,1003.8
2024/7/6 10:00,1003.5,1003.9
2024/7/6 11:00,1003.4,1003.7
2024/7/6 12:00,1003.1,1003.6
2024/7/6 13:00,1002.8,1003.4
2024/7/6 14:00,1003.2,1003
2024/7/6 15:00,1003.4,1003.3
2024/7/6 16:00,1004.6,1003.5
2024/7/6 17:00,1005.5,1003.8
2024/7/6 18:00,1006,1006.2
2024/7/6 19:00,1005.6,1006.3
2024/7/6 20:00,1006,1006.3
2024/7/6 21:00,1006,1006.2
2024/7/6 22:00,1005.7,1006.6
2024/7/6 23:00,1005.5,1006.2
2024/7/7 0:00,1005,1005.9
2024/7/7 1:00,1004.8,1005.4
2024/7/7 2:00,1004.4,1005.2
2024/7/7 3:00,1004.3,1005.1
2024/7/7 4:00,1004.6,1005.1
2024/7/7 5:00,1004.6,1005.1
2024/7/7 6:00,1004.5,1005.2
2024/7/7 7:00,1004,1005.3
2024/7/7 8:00,1003.6,1004.7
2024/7/7 9:00,1003.2,1004.2
2024/7/7 10:00,1002.4,1003.8
2024/7/7 11:00,1001.6,1003
2024/7/7 12:00,1000.8,1002.3
2024/7/7 13:00,1000.2,1001.4
2024/7/7 14:00,999.7,1000.7
2024/7/7 15:00,999.2,1000.3
2024/7/7 16:00,999.2,1000
2024/7/7 17:00,999.6,1000
2024/7/7 18:00,999.8,999.9
2024/7/7 19:00,1000.5,1000.2
2024/7/7 20:00,1001.4,1000.9
2024/7/7 21:00,1001.8,1001.5
2024/7/7 22:00,1001.8,1001.9
2024/7/7 23:00,1000.9,1002.1
2024/7/8 0:00,1000.8,1001.7
