datetime,temp,temp(sensor)
2024/7/1 1:00,26.3,29
2024/7/1 2:00,26.6,29.1
2024/7/1 3:00,26.6,29.2
2024/7/1 4:00,26.8,29.2
2024/7/1 5:00,24.2,29.2
2024/7/1 6:00,23.9,29.2
2024/7/1 7:00,24.1,29.2
2024/7/1 8:00,24.8,26.4
2024/7/1 9:00,25.4,23.9
2024/7/1 10:00,26,23.6
2024/7/1 11:00,26.8,24
2024/7/1 12:00,28.2,23.5
2024/7/1 13:00,28.8,23.4
2024/7/1 14:00,29.1,24.6
2024/7/1 15:00,29,24.1
2024/7/1 16:00,28.7,24.2
2024/7/1 17:00,28.1,23.4
2024/7/1 18:00,27.9,24
2024/7/1 19:00,27.3,27.1
2024/7/1 20:00,27.1,27.7
2024/7/1 21:00,26.5,28.2
2024/7/1 22:00,25.9,28.6
2024/7/1 23:00,25.8,28.7
2024/7/2 0:00,25.4,28.9
2024/7/2 1:00,24.6,28.9
2024/7/2 2:00,24.5,28.9
2024/7/2 3:00,24.6,29
2024/7/2 4:00,24.4,29
2024/7/2 5:00,23.5,29
2024/7/2 6:00,25,28.8
2024/7/2 7:00,26.4,29
2024/7/2 8:00,28.4,29.4
2024/7/2 9:00,28.5,24
2024/7/2 10:00,29.4,23.6
2024/7/2 11:00,30.8,23.1
2024/7/2 12:00,31.1,23.5
2024/7/2 13:00,31,24.6
2024/7/2 14:00,31.4,24.8
2024/7/2 15:00,31.6,24
2024/7/2 16:00,31.6,23.7
2024/7/2 17:00,30,23.1
2024/7/2 18:00,29.7,27.2
2024/7/2 19:00,28.3,27.9
2024/7/2 20:00,28.1,28.4
2024/7/2 21:00,27.5,29
2024/7/2 22:00,27.1,29.4
2024/7/2 23:00,26.9,29.5
2024/7/3 0:00,25.8,29.8
2024/7/3 1:00,25.2,29.7
2024/7/3 2:00,24.7,29.7
2024/7/3 3:00,24.5,29.7
2024/7/3 4:00,23.8,29.7
2024/7/3 5:00,23.7,29.8
2024/7/3 6:00,23.1,29.7
2024/7/3 7:00,23.9,29.9
2024/7/3 8:00,25,29.6
2024/7/3 9:00,25.5,25
2024/7/3 10:00,26.7,24.5
2024/7/3 11:00,27.2,24.3
2024/7/3 12:00,28.4,24
2024/7/3 13:00,30.3,23.6
2024/7/3 14:00,32,23
2024/7/3 15:00,33.5,24.8
2024/7/3 16:00,32.5,24.2
2024/7/3 17:00,32.2,25.3
2024/7/3 18:00,31.3,28.7
2024/7/3 19:00,29.3,29.1
2024/7/3 20:00,27.7,29.5
2024/7/3 21:00,27.5,29.8
2024/7/3 22:00,26.5,30
2024/7/3 23:00,26.1,30.1
2024/7/4 0:00,25.5,30.1
2024/7/4 1:00,25.5,30.2
2024/7/4 2:00,25.1,30.2
2024/7/4 3:00,24.9,30.3
2024/7/4 4:00,25.1,30.3
2024/7/4 5:00,25.8,30.4
2024/7/4 6:00,26.7,30
2024/7/4 7:00,27.4,30.1
2024/7/4 8:00,28.2,30.3
2024/7/4 9:00,29.3,25.2
2024/7/4 10:00,30.6,25.5
2024/7/4 11:00,32.1,23.7
2024/7/4 12:00,33.3,23.2
2024/7/4 13:00,33.9,25
2024/7/4 14:00,34.4,24.8
2024/7/4 15:00,33.7,24.4
2024/7/4 16:00,33.9,24.2
2024/7/4 17:00,33.8,24.4
2024/7/4 18:00,32.9,29.1
2024/7/4 19:00,31.8,29.9
2024/7/4 20:00,31.1,30.1
2024/7/4 21:00,30.5,30.4
2024/7/4 22:00,28.5,30.7
2024/7/4 23:00,28.5,31.1
2024/7/5 0:00,27.7,31.3
2024/7/5 1:00,27.6,31.4
2024/7/5 2:00,26.4,31.5
2024/7/5 3:00,25,31.6
2024/7/5 4:00,24.9,31.6
2024/7/5 5:00,24.9,31.6
2024/7/5 6:00,26.9,31.7
2024/7/5 7:00,28.2,32.6
2024/7/5 8:00,28.9,32.8
2024/7/5 9:00,30.2,24.7
2024/7/5 10:00,30.9,24.4
2024/7/5 11:00,32.8,24.6
